OBJECTID,CSA_Name,NatWalkInd,Shape_Area
1,"Dallas-Fort Worth, TX-OK",14,297836.0831
2,"Dallas-Fort Worth, TX-OK",10.83333333,484945.1466
3,"Dallas-Fort Worth, TX-OK",8.333333333,106705.9281
4,"Dallas-Fort Worth, TX-OK",15.66666667,481828.4303
5,"Dallas-Fort Worth, TX-OK",10.16666667,687684.7752
6,"Dallas-Fort Worth, TX-OK",6.833333333,205126.8414
7,"Dallas-Fort Worth, TX-OK",8,811981.0664
8,"Dallas-Fort Worth, TX-OK",13.16666667,258973.571
9,"Dallas-Fort Worth, TX-OK",10.5,2479375.452
10,"Dallas-Fort Worth, TX-OK",8.666666667,757402.0068
11,"Dallas-Fort Worth, TX-OK",8.5,638662.3872
12,"Dallas-Fort Worth, TX-OK",12.5,171703.7317
13,"Dallas-Fort Worth, TX-OK",13.16666667,680150.457
14,"Dallas-Fort Worth, TX-OK",13.33333333,258202.64
15,"Midland-Odessa, TX",8.5,440266.9662
16,"Midland-Odessa, TX",11.66666667,620086.9883
17,"Dallas-Fort Worth, TX-OK",10,660119.2402
18,"Dallas-Fort Worth, TX-OK",11.83333333,771711.7197
19,"Dallas-Fort Worth, TX-OK",12.5,428322.2733
20,"Dallas-Fort Worth, TX-OK",10.5,184053.2947
21,"Dallas-Fort Worth, TX-OK",7.833333333,1047889.148
22,"Dallas-Fort Worth, TX-OK",12.33333333,418257.6493
23,"Midland-Odessa, TX",7,378125.5601
24,"Midland-Odessa, TX",7.5,643520.7777
25,"Midland-Odessa, TX",9.166666667,1330575.971
26,"Midland-Odessa, TX",11.33333333,752120.4866
27,"Midland-Odessa, TX",10.33333333,432393.7297
28,"Midland-Odessa, TX",9.333333333,857945.3618
29,"Dallas-Fort Worth, TX-OK",13.83333333,1944918.692
30,"Dallas-Fort Worth, TX-OK",16,433858.4669
31,"Dallas-Fort Worth, TX-OK",12.16666667,499703.5117
32,"Dallas-Fort Worth, TX-OK",16.5,669047.2914
33,"Dallas-Fort Worth, TX-OK",16.83333333,424277.0899
34,"Dallas-Fort Worth, TX-OK",14,363335.2316
35,"Dallas-Fort Worth, TX-OK",10.33333333,319385.3505
36,"Dallas-Fort Worth, TX-OK",15.16666667,885744.6165
37,"Dallas-Fort Worth, TX-OK",6,15630789.48
38,"Dallas-Fort Worth, TX-OK",10.83333333,607268.2482
39,"Dallas-Fort Worth, TX-OK",9.333333333,113529.6496
40,"Dallas-Fort Worth, TX-OK",10.66666667,593351.6599
41,"Dallas-Fort Worth, TX-OK",11.5,1186879.467
42,"Houston-The Woodlands, TX",6.5,14651358.14
43,"Houston-The Woodlands, TX",4.5,11331901.16
44,"Houston-The Woodlands, TX",5.333333333,2994405.977
45,"Dallas-Fort Worth, TX-OK",7.666666667,914646.4585
46,"Dallas-Fort Worth, TX-OK",10.66666667,499444.4106
47,"Dallas-Fort Worth, TX-OK",14,175665.4405
48,"Dallas-Fort Worth, TX-OK",9,1098483.84
49,"Dallas-Fort Worth, TX-OK",14.66666667,356941.453
50,"Dallas-Fort Worth, TX-OK",15,372072.1382
51,"Dallas-Fort Worth, TX-OK",9.666666667,591801.4881
52,"Dallas-Fort Worth, TX-OK",12,658930.8321
53,"Dallas-Fort Worth, TX-OK",15.83333333,498340.9085
54,"Dallas-Fort Worth, TX-OK",9,226132.5611
55,"Dallas-Fort Worth, TX-OK",12.66666667,1018133.994
56,"Dallas-Fort Worth, TX-OK",7.833333333,551358.5124
57,"Dallas-Fort Worth, TX-OK",12,551914.5847
58,"Dallas-Fort Worth, TX-OK",10.66666667,606854.0263
59,"Dallas-Fort Worth, TX-OK",6.333333333,743424.9912
60,"Dallas-Fort Worth, TX-OK",9.5,466054.5312
61,"Dallas-Fort Worth, TX-OK",17.33333333,455154.4437
62,"Dallas-Fort Worth, TX-OK",16.83333333,343343.4325
63,"Dallas-Fort Worth, TX-OK",13.33333333,617800.1792
64,"Dallas-Fort Worth, TX-OK",18.33333333,272990.4592
