"State","Closing.Date"
"IA",2023
"KS",2023
"CA",2023
"NY",2023
"CA",2023
"KS",2020
"FL",2020
"WV",2020
"NE",2020
"NJ",2019
"OH",2019
"KY",2019
"TX",2019
"IL",2017
"KS",2017
"IL",2017
"WI",2017
"LA",2017
"UT",2017
"IL",2017
"NJ",2017
"AR",2016
"GA",2016
"PA",2016
"TN",2016
"WI",2016
"WA",2015
"GA",2015
"CO",2015
"IL",2015
"PR",2015
"GA",2015
"IL",2015
"FL",2015
"MN",2014
"CA",2014
"IL",2014
"MD",2014
"IL",2014
"GA",2014
"OK",2014
"FL",2014
"IL",2014
"MD",2014
"OH",2014
"IL",2014
"SC",2014
"PA",2014
"VA",2014
"ID",2014
"OK",2014
"IL",2014
"TX",2013
"FL",2013
"TX",2013
"CT",2013
"AZ",2013
"TN",2013
"WI",2013
"FL",2013
"TN",2013
"NV",2013
"WI",2013
"AZ",2013
"GA",2013
"NC",2013
"GA",2013
"NC",2013
"FL",2013
"FL",2013
"KY",2013
"AZ",2013
"GA",2013
"IL",2013
"MN",2013
"WA",2013
"MO",2012
"GA",2012
"IL",2012
"FL",2012
"PA",2012
"MO",2012
"FL",2012
"FL",2012
"IL",2012
"MO",2012
"MN",2012
"IL",2012
"GA",2012
"IL",2012
"KS",2012
"GA",2012
"GA",2012
"FL",2012
"MO",2012
"GA",2012
"TN",2012
"GA",2012
"FL",2012
"NC",2012
"IL",2012
"SC",2012
"OK",2012
"AL",2012
"FL",2012
"CA",2012
"SC",2012
"MN",2012
"MD",2012
"MD",2012
"NJ",2012
"MI",2012
"IL",2012
"GA",2012
"IL",2012
"GA",2012
"MN",2012
"GA",2012
"IN",2012
"IL",2012
"TN",2012
"MN",2012
"TN",2012
"FL",2012
"PA",2012
"GA",2012
"FL",2012
"AZ",2011
"FL",2011
"LA",2011
"IA",2011
"GA",2011
"UT",2011
"NE",2011
"IL",2011
"CO",2011
"GA",2011
"GA",2011
"FL",2011
"IL",2011
"NJ",2011
"NC",2011
"GA",2011
"MO",2011
"MN",2011
"TX",2011
"CA",2011
"VA",2011
"FL",2011
"GA",2011
"GA",2011
"IL",2011
"GA",2011
"FL",2011
"PA",2011
"KS",2011
"WA",2011
"IL",2011
"IN",2011
"SC",2011
"VA",2011
"CO",2011
"FL",2011
"FL",2011
"AZ",2011
"FL",2011
"GA",2011
"GA",2011
"CO",2011
"CO",2011
"IL",2011
"GA",2011
"FL",2011
"GA",2011
"SC",2011
"WA",2011
"WA",2011
"GA",2011
"GA",2011
"FL",2011
"MI",2011
"GA",2011
"GA",2011
"FL",2011
"FL",2011
"MS",2011
"MN",2011
"AL",2011
"AL",2011
"GA",2011
"GA",2011
"NV",2011
"IL",2011
"IL",2011
"WI",2011
"OK",2011
"IL",2011
"CA",2011
"CA",2011
"GA",2011
"GA",2011
"CA",2011
"WI",2011
"MI",2011
"FL",2011
"IL",2011
"GA",2011
"GA",2011
"NM",2011
"CO",2011
"WI",2011
"OK",2011
"CO",2011
"NC",2011
"SC",2011
"GA",2011
"GA",2011
"AZ",2011
"FL",2011
"MN",2010
"AR",2010
"GA",2010
"GA",2010
"GA",2010
"FL",2010
"PA",2010
"MI",2010
"WI",2010
"PA",2010
"FL",2010
"AZ",2010
