"State","Year","Obese Adults (%)"
"NM",2011,1.9
"NH",2012,2
"DE",2011,2.1
"AK",2012,2.3
"RI",2016,2.5
"OK",2018,2.6
"DE",2012,2.9
"IA",2011,3
"GA",2016,3
"IL",2014,3.2
"PA",2011,3.2
"MO",2016,3.4
"NM",2014,3.6
"PA",2013,4
"RI",2019,4
"NE",2017,4.1
"OK",2016,4.1
"IN",2020,4.2
"GA",2014,4.3
"AZ",2012,4.3
"NV",2020,4.4
"OK",2012,4.4
"CO",2019,4.6
"IL",2011,4.6
"MA",2014,4.7
"RI",2015,4.7
"SC",2011,4.8
"MA",2011,4.8
"PA",2016,5.1
"IN",2015,5.4
"UT",2012,5.4
"GA",2011,5.4
"IA",2012,5.4
"IN",2019,5.5
"GA",2015,5.6
"OR",2013,5.6
"CT",2012,5.6
"PA",2020,5.7
"MA",2012,5.7
"CT",2016,5.8
"MI",2013,5.9
"RI",2011,6
"IA",2014,6.2
"FL",2011,6.2
"CT",2011,6.3
"CO",2018,6.4
"MA",2018,6.5
"FL",2017,6.5
"UT",2015,6.5
"NC",2011,6.5
"OH",2013,6.6
"TX",2012,6.6
"CO",2017,6.6
"AZ",2014,6.6
"NM",2012,6.7
"ME",2021,6.7
"UT",2022,6.7
"RI",2012,6.9
"NH",2017,6.9
"MI",2011,6.9
"OR",2016,6.9
"NH",2022,6.9
"UT",2020,7
"IN",2013,7
"WA",2014,7
"OK",2022,7
"IA",2019,7.1
"VT",2019,7.1
"IL",2012,7.1
"VT",2022,7.1
"OH",2018,7.3
"FL",2015,7.3
"MD",2017,7.4
"VA",2017,7.5
"NH",2014,7.5
"PA",2018,7.6
"OK",2014,7.6
"WA",2013,7.6
"DE",2017,7.7
"MA",2015,7.7
"CO",2011,7.7
"MI",2016,7.7
"OH",2014,7.8
"NY",2012,7.8
"TX",2014,7.8
"TX",2016,7.8
"IL",2013,7.9
"NJ",2012,7.9
"MI",2018,8
"NV",2011,8
"UT",2014,8
"UT",2013,8
"AZ",2018,8.1
"KS",2020,8.1
"PA",2017,8.1
"CA",2011,8.1
"SC",2013,8.1
"WA",2011,8.1
"NC",2013,8.1
"NC",2016,8.1
"WA",2016,8.1
"CO",2021,8.1
"CO",2020,8.2
"DE",2013,8.2
"NE",2018,8.3
"CO",2015,8.3
"NJ",2016,8.3
"WA",2020,8.4
"NJ",2014,8.4
"NY",2013,8.4
"MD",2016,8.4
"OR",2014,8.5
"GA",2012,8.5
"AZ",2015,8.5
"NV",2013,8.5
"IN",2016,8.5
"MO",2022,8.5
"MI",2020,8.6
"GA",2011,8.6
"AZ",2017,8.6
"MD",2012,8.6
"OR",2017,8.7
"CO",2014,8.7
"VA",2014,8.8
"MD",2011,8.8
"PA",2019,8.8
"VA",2012,8.8
"OH",2015,8.8
"SC",2022,8.8
"WI",2014,8.9
"CA",2014,8.9
"KS",2011,8.9
"UT",2016,8.9
"AK",2012,9
"PA",2012,9
"MI",2015,9
"PA",2014,9
"DE",2016,9
"NY",2020,9.1
"MN",2011,9.1
"WA",2012,9.1
"WA",2017,9.1
"KS",2013,9.1
"NY",2015,9.1
"OH",2012,9.1
"CT",2013,9.2
"CO",2012,9.2
"NV",2011,9.2
"HI",2011,9.3
"CA",2013,9.3
"CA",2019,9.3
"NE",2012,9.3
"IN",2022,9.3
"MI",2021,9.3
"NC",2022,9.3
"CO",2016,9.4
"MA",2016,9.4
"CA",2021,9.4
"NE",2020,9.5
"MA",2017,9.5
"NE",2011,9.5
"NJ",2015,9.5
"TX",2013,9.5
"MO",2014,9.5
"NY",2011,9.5
"UT",2016,9.5
"VA",2019,9.6
"IL",2015,9.6
"CT",2012,9.6
