"State","Year","Overweight Adults (%)"
"WI",2021,10.3
"IN",2018,11.5
"MO",2014,12.6
"WY",2017,13.5
"KY",2013,13.7
"CT",2014,15.1
"WI",2014,15.1
"SD",2014,15.4
"MO",2014,15.7
"SD",2022,16.1
"SC",2019,16.2
"TN",2014,16.8
"NH",2021,16.8
"SC",2013,17.1
"PA",2014,17.1
"SC",2018,17.4
"SD",2018,17.6
"WI",2012,17.6
"FL",2022,17.6
"NY",2020,17.7
"NV",2022,17.7
"SC",2017,18
"NC",2021,18
"NV",2017,18.2
"UT",2015,18.3
"AR",2016,18.3
"AK",2016,18.4
"AK",2022,18.4
"KY",2021,18.5
"PA",2014,18.6
"ID",2019,18.7
"WI",2011,18.9
"MA",2017,19
"GA",2017,19
"OR",2016,19
"MD",2018,19.1
"SD",2020,19.2
"MD",2015,19.2
"OK",2021,19.2
"FL",2012,19.3
"DE",2016,19.3
"IN",2019,19.4
"NE",2015,19.4
"MD",2015,19.5
"LA",2020,19.6
"AR",2016,19.6
"PA",2019,19.6
"WI",2015,19.6
"AZ",2016,19.6
"NV",2020,19.7
"NJ",2017,19.7
"NH",2014,19.7
"GA",2020,19.8
"OK",2011,19.8
"SC",2011,19.8
"ME",2022,19.8
"SD",2022,19.8
"CT",2014,19.9
"ND",2016,19.9
"MO",2021,19.9
"IN",2020,20
"IA",2011,20
"DE",2018,20.1
"OR",2017,20.1
"WI",2019,20.2
"AR",2019,20.2
"ME",2016,20.2
"TX",2020,20.3
"WY",2014,20.3
"IN",2012,20.3
"SC",2011,20.3
"WY",2012,20.3
"ME",2021,20.3
"UT",2021,20.3
"AK",2014,20.4
"VT",2019,20.4
"IA",2012,20.4
"RI",2017,20.5
"VT",2019,20.5
"UT",2012,20.5
"NV",2011,20.5
"VT",2016,20.5
"HI",2020,20.6
"NE",2017,20.6
"VA",2022,20.6
"AK",2015,20.8
"MI",2014,20.8
"WI",2014,20.8
"VA",2011,20.8
"AR",2014,20.8
"PA",2021,20.8
"IL",2022,20.8
"NV",2015,20.9
"UT",2018,21
"MO",2018,21
"TN",2021,21
"IN",2020,21.1
"ME",2020,21.1
"IA",2014,21.1
"NE",2014,21.1
"SC",2016,21.1
"AL",2021,21.1
"WI",2022,21.1
"AK",2020,21.2
"IL",2014,21.2
"DE",2013,21.2
"OR",2011,21.2
"GA",2011,21.2
"MN",2011,21.3
"SC",2017,21.3
"CO",2015,21.3
"WA",2011,21.3
"CT",2011,21.3
"TX",2011,21.3
"ID",2019,21.4
"VT",2015,21.4
"SD",2019,21.4
"TN",2016,21.4
"AZ",2016,21.4
"ME",2022,21.4
"MO",2018,21.5
"KS",2018,21.5
"VT",2011,21.5
"PA",2019,21.5
"GA",2019,21.5
"TX",2015,21.5
"MN",2013,21.5
"CO",2016,21.5
"MO",2021,21.5
"NH",2022,21.5
"RI",2018,21.6
"HI",2012,21.6
"DE",2013,21.6
"OH",2016,21.6
"WA",2021,21.6
"NY",2022,21.6
"LA",2018,21.7
"TN",2020,21.7
"WY",2019,21.7
"NV",2011,21.7
"FL",2016,21.7
"GA",2016,21.7
"WI",2021,21.7
"MA",2021,21.7
"RI",2022,21.7
"OR",2018,21.8
"AR",2020,21.8
"VT",2017,21.8
"ME",2015,21.8
"FL",2017,21.8
"ME",2019,21.8
"IL",2022,21.8
"AR",2018,21.9
"SD",2011,21.9
"NC",2019,21.9
"WV",2019,21.9
"MS",2015,21.9
"NH",2012,21.9
"MI",2012,21.9
"ID",2014,21.9
"MD",2022,21.9
"UT",2015,22
"MT",2013,22
"SD",2014,22
"ID",2011,22
"OR",2013,22
"MD",2016,22
"DE",2022,22
"RI",2018,22.1
"IN",2020,22.1
"IL",2017,22.1
"WA",2019,22.1
"KY",2015,22.1
"NH",2014,22.1
"IN",2018,22.2
"VT",2020,22.2
"NJ",2017,22.2
"NV",2015,22.2
"MT",2015,22.2
"MS",2013,22.2
"MI",2012,22.2
"GA",2013,22.2
"AZ",2013,22.2
"MO",2016,22.2
"TX",2018,22.3
"OH",2018,22.3
"NC",2018,22.3
"ID",2018,22.3
"ND",2015,22.3
"MO",2015,22.3
"OR",2014,22.3
"AL",2013,22.3
"UT",2022,22.3
"CO",2013,22.4
"AL",2015,22.4
"AR",2011,22.4
"UT",2019,22.4
"UT",2011,22.4
"AL",2015,22.4
"CT",2015,22.4
"MT",2021,22.4
"NC",2018,22.5
"SC",2018,22.5
"IA",2017,22.5
"DE",2011,22.5
"ID",2013,22.5
"VT",2019,22.5
"TX",2013,22.5
"DE",2021,22.5
"TN",2021,22.5
"CT",2021,22.5
"KS",2022,22.5
"SC",2022,22.5
"MA",2017,22.6
"MA",2015,22.6
"MO",2014,22.6
"WV",2019,22.6
"OR",2019,22.6
"CT",2016,22.6
"VT",2021,22.6
"RI",2021,22.6
"VT",2018,22.7
"MO",2020,22.7
"WY",2017,22.7
"RI",2014,22.7
"AZ",2019,22.7
"NJ",2013,22.7
"OR",2012,22.7
"AR",2021,22.7
"AZ",2022,22.7
"ME",2022,22.7
"TN",2018,22.8
"NE",2020,22.8
"UT",2017,22.8
"MS",2012,22.8
"MA",2013,22.8
"CA",2012,22.8
"MO",2013,22.8
"GA",2022,22.8
"UT",2020,22.9
"IL",2018,22.9
"FL",2017,22.9
"OH",2015,22.9
"KY",2021,22.9
"IL",2022,22.9
"AZ",2020,23
"SD",2015,23
"UT",2019,23
"CO",2012,23
"RI",2014,23
"MA",2014,23
"MA",2012,23
"NH",2018,23.1
"ME",2018,23.1
"NM",2018,23.1
"NJ",2014,23.1
"RI",2019,23.1
"RI",2019,23.1
"OR",2014,23.1
"AR",2013,23.1
"NC",2015,23.1
"GA",2011,23.1
"NC",2021,23.1
"KY",2021,23.1
"MI",2022,23.1
"WI",2022,23.1
"FL",2018,23.2
"VT",2018,23.2
"AK",2018,23.2
"CT",2020,23.2
"SC",2020,23.2
"MA",2019,23.2
"AZ",2019,23.2
"MN",2019,23.2
"SD",2015,23.2
"CO",2011,23.2
"ID",2012,23.2
"NM",2016,23.2
"SC",2021,23.2
"MD",2021,23.2
"AK",2022,23.2
"NY",2018,23.3
"CO",2018,23.3
"NH",2018,23.3
"VT",2018,23.3
"CA",2020,23.3
"MO",2017,23.3
"MT",2017,23.3
"MI",2019,23.3
"MO",2019,23.3
"ND",2014,23.3
"CO",2014,23.3
"NH",2011,23.3
"WV",2021,23.3
"UT",2022,23.3
"WA",2018,23.4
"CO",2011,23.4
"AK",2016,23.4
"OR",2021,23.4
"IN",2022,23.4
"CA",2017,23.5
"PA",2019,23.5
"OR",2011,23.5
"IL",2018,23.6
"DE",2020,23.6
"CO",2020,23.6
"CO",2017,23.6
"CT",2012,23.6
"NJ",2013,23.6
"ME",2012,23.6
"GA",2017,23.6
"WA",2019,23.6
"MO",2011,23.6
"OH",2014,23.6
"AZ",2014,23.6
"ID",2016,23.6
"WV",2016,23.6
"NC",2016,23.6
"PA",2016,23.6
"SC",2021,23.6
"MD",2018,23.7
"AR",2014,23.7
"TN",2015,23.7
"OK",2015,23.7
"AR",2013,23.7
"NJ",2012,23.7
"WA",2014,23.7
"AR",2014,23.7
"NM",2016,23.7
"CO",2022,23.7
"DE",2022,23.7
"GA",2022,23.7
"KY",2018,23.8
"SD",2020,23.8
"IN",2017,23.8
"NJ",2015,23.8
"CO",2013,23.8
"WA",2017,23.8
"ME",2019,23.8
"CA",2014,23.8
"MO",2012,23.8
"NV",2011,23.8
"TX",2014,23.8
"NC",2021,23.8
"NY",2022,23.8
"WA",2022,23.8
"OH",2013,23.9
"NC",2019,23.9
"MD",2019,23.9
"VT",2019,23.9
"HI",2015,23.9
"WV",2013,23.9
"RI",2013,23.9
"ME",2014,23.9
"NE",2014,23.9
"IN",2015,23.9
"LA",2015,23.9
"RI",2016,23.9
"WI",2021,23.9
"ID",2022,23.9
"AZ",2014,24
"HI",2019,24
"AR",2019,24
"IL",2012,24
"CA",2015,24
"NY",2016,24
"CO",2021,24
"NV",2021,24
"IA",2018,24.1
"AZ",2017,24.1
"DE",2014,24.1
"ND",2019,24.1
"UT",2014,24.1
"VT",2011,24.1
"NH",2012,24.1
"ID",2014,24.1
"FL",2013,24.1
"MI",2021,24.1
