"State","Year","Adults who Engage in No Leisure-time Exercise (%)"
"OR",2015,2.5
"SD",2016,5.2
"OR",2012,5.8
"OR",2014,6.5
"CO",2012,6.6
"HI",2014,6.8
"OR",2012,6.8
"SC",2018,6.9
"CO",2016,7
"VT",2012,7.1
"CO",2012,7.1
"VT",2012,7.2
"CT",2014,7.3
"VT",2014,7.3
"CO",2016,7.3
"OR",2016,7.3
"VT",2021,7.3
"CO",2014,7.4
"VT",2016,7.4
"CO",2021,7.4
"CO",2015,7.5
"OR",2016,7.5
"VT",2012,7.6
"OK",2018,7.7
"VT",2020,7.7
"UT",2012,7.7
"CO",2018,7.8
"CO",2018,7.8
"OR",2014,7.8
"CO",2014,7.8
"PA",2022,8
"VT",2020,8.1
"CO",2020,8.1
"UT",2020,8.1
"NM",2016,8.1
"WI",2020,8.2
"OR",2015,8.2
"VT",2014,8.2
"HI",2021,8.2
"NH",2012,8.3
"ID",2016,8.3
"UT",2016,8.4
"UT",2020,8.5
"NM",2020,8.5
"UT",2014,8.5
"UT",2012,8.5
"UT",2016,8.5
"VT",2018,8.6
"CO",2013,8.6
"VT",2014,8.6
"ID",2016,8.6
"CO",2020,8.7
"AK",2014,8.7
"MN",2012,8.7
"MN",2016,8.7
"ME",2016,8.7
"WI",2016,8.7
"OR",2018,8.8
"OR",2020,8.8
"CO",2011,8.8
"WI",2014,8.9
"VT",2012,8.9
"MN",2012,8.9
"AK",2016,8.9
"CO",2022,8.9
"FL",2014,9
"UT",2014,9
"ID",2014,9
"HI",2012,9
"NM",2016,9
"VT",2018,9.1
"WA",2020,9.1
"MT",2020,9.1
"VT",2017,9.1
"NC",2014,9.1
"NH",2012,9.1
"WA",2016,9.1
"CA",2021,9.1
"WI",2016,9.2
"MT",2014,9.2
"CO",2019,9.2
"MA",2014,9.2
"CO",2015,9.2
"WA",2016,9.2
"WA",2022,9.2
"WI",2018,9.3
"UT",2018,9.3
"WA",2018,9.3
"VT",2020,9.3
"OR",2020,9.3
"MA",2014,9.3
"TN",2014,9.3
"NM",2021,9.3
"UT",2021,9.3
"CO",2020,9.4
"MN",2020,9.4
"WI",2014,9.4
"NH",2016,9.4
"NH",2016,9.4
"MN",2016,9.4
"MT",2021,9.4
"WI",2021,9.4
"UT",2020,9.5
"NC",2014,9.5
"ME",2014,9.5
"NH",2012,9.5
"AK",2019,9.5
"VT",2019,9.5
"ME",2016,9.5
"VT",2022,9.5
