"State","Bank Failures","Year"
"AL",0,2000
"AL",0,2001
"AL",0,2002
"AL",0,2003
"AL",0,2004
"AL",0,2005
"AL",0,2006
"AL",0,2007
"AL",0,2008
"AL",3,2009
"AL",1,2010
"AL",2,2011
"AL",1,2012
"AL",0,2013
"AL",0,2014
"AL",0,2015
"AL",0,2016
"AL",0,2017
"AL",0,2018
"AL",0,2019
"AL",0,2020
"AL",0,2021
"AL",0,2022
"AL",0,2023
"KY",0,2000
"KY",0,2001
"KY",0,2002
"KY",0,2003
"KY",0,2004
"KY",0,2005
"KY",0,2006
"KY",0,2007
"KY",0,2008
"KY",1,2009
"KY",0,2010
"KY",0,2011
"KY",0,2012
"KY",1,2013
"KY",0,2014
"KY",0,2015
"KY",0,2016
"KY",0,2017
"KY",0,2018
"KY",1,2019
"KY",0,2020
"KY",0,2021
"KY",0,2022
"KY",0,2023
"OH",0,2000
"OH",1,2001
"OH",1,2002
"OH",0,2003
"OH",0,2004
"OH",0,2005
"OH",0,2006
"OH",1,2007
"OH",0,2008
"OH",2,2009
"OH",2,2010
"OH",0,2011
"OH",0,2012
"OH",0,2013
"OH",1,2014
"OH",0,2015
"OH",0,2016
"OH",0,2017
"OH",0,2018
"OH",1,2019
"OH",0,2020
"OH",0,2021
"OH",0,2022
"OH",0,2023
"AK",0,2000
"AK",0,2001
"AK",0,2002
"AK",0,2003
"AK",0,2004
"AK",0,2005
"AK",0,2006
"AK",0,2007
"AK",0,2008
"AK",0,2009
"AK",0,2010
"AK",0,2011
"AK",0,2012
"AK",0,2013
"AK",0,2014
"AK",0,2015
"AK",0,2016
"AK",0,2017
"AK",0,2018
"AK",0,2019
"AK",0,2020
"AK",0,2021
"AK",0,2022
"AK",0,2023
"LA",0,2000
"LA",0,2001
"LA",1,2002
"LA",0,2003
"LA",0,2004
"LA",0,2005
"LA",0,2006
"LA",0,2007
"LA",0,2008
"LA",0,2009
"LA",1,2010
"LA",1,2011
"LA",0,2012
"LA",0,2013
"LA",0,2014
"LA",0,2015
"LA",0,2016
"LA",1,2017
"LA",0,2018
"LA",0,2019
"LA",0,2020
"LA",0,2021
"LA",0,2022
"LA",0,2023
"OK",0,2000
"OK",0,2001
"OK",0,2002
"OK",0,2003
"OK",0,2004
"OK",0,2005
"OK",0,2006
"OK",0,2007
"OK",0,2008
"OK",1,2009
"OK",1,2010
"OK",2,2011
"OK",1,2012
"OK",0,2013
"OK",2,2014
"OK",0,2015
"OK",0,2016
"OK",0,2017
"OK",0,2018
"OK",0,2019
"OK",0,2020
"OK",0,2021
"OK",0,2022
"OK",0,2023
"AZ",0,2000
"AZ",0,2001
"AZ",1,2002
"AZ",0,2003
"AZ",0,2004
"AZ",0,2005
"AZ",0,2006
"AZ",0,2007
"AZ",0,2008
"AZ",5,2009
"AZ",4,2010
"AZ",3,2011
"AZ",0,2012
"AZ",3,2013
"AZ",0,2014
"AZ",0,2015
"AZ",0,2016
"AZ",0,2017
"AZ",0,2018
"AZ",0,2019
"AZ",0,2020
"AZ",0,2021
"AZ",0,2022
"AZ",0,2023
"ME",0,2000
"ME",0,2001
"ME",0,2002
"ME",0,2003
"ME",0,2004
"ME",0,2005
"ME",0,2006
