NatWalkInd,Shape_Area
1,261594027
1,153778060.8
1,442944416.5
1,120588183.3
1,207165458.5
1,255438781.3
1,113561954.7
1,276099120
1,207137562.6
1,20696896.08
1,134149136.3
1.166666667,119860321
1.333333333,77056507.14
1.333333333,76227990.61
1.333333333,368902147.7
1.333333333,174159510.7
1.333333333,128507276.5
1.5,131060612.6
1.5,121572817.8
1.5,125279397.5
1.5,93956776.47
1.666666667,252808391.5
1.666666667,161204981.7
1.666666667,231621142.5
1.666666667,353446071.3
1.666666667,40466372.69
1.666666667,80523488.71
1.666666667,115073634
1.666666667,199952617.8
1.666666667,131536439.7
1.833333333,131019246.3
1.833333333,124647589
1.833333333,151035135.2
1.833333333,161210277.5
1.833333333,250337694.9
1.833333333,93869150.01
1.833333333,197625626.1
1.833333333,34405618.71
1.833333333,33476728.55
2,166839403.3
2,59959963.4
2,223341114.2
2,183040065.3
2,77389762.43
2,233032427.9
2,12886062.82
2,29362042.11
2,135824765.7
2,38861427.14
2,123525654.8
2,104596972.2
2,53300390.84
2,232906779.5
2,10806347.41
2,42269687.76
2.166666667,185915543.4
2.166666667,90437559.76
2.166666667,75707652.61
2.166666667,108694856.5
2.166666667,56113164.3
2.166666667,82887926.18
2.166666667,106717073.8
2.166666667,24866534.1
2.166666667,35059171.34
2.166666667,23817885.77
2.166666667,73949806.22
2.166666667,442275004.2
2.166666667,186159949.6
2.166666667,27571750.22
2.166666667,72666272.43
2.166666667,59459967.68
2.166666667,169129422.3
2.166666667,32948633.44
2.166666667,194984528.5
2.166666667,145884368.6
2.166666667,153805636.4
2.166666667,37131496.87
2.333333333,211734707.4
2.333333333,52890856.26
2.333333333,93597469.05
2.333333333,44952401.44
2.333333333,70821260.82
2.333333333,136293821.8
2.333333333,218716355.3
2.333333333,137663580.2
2.333333333,93712196.62
2.333333333,111162871.7
2.333333333,80194646.59
2.333333333,70840319.87
2.333333333,128159939.4
2.333333333,30554666.05
2.333333333,23643966.71
2.333333333,65572349.77
2.333333333,227081357.8
2.333333333,51112536.11
2.333333333,42728766.68
2.333333333,57810257.07
2.333333333,279519508.5
2.333333333,73784859.3
2.333333333,42188310.16
2.333333333,159143829.8
2.333333333,123233293.4
2.333333333,95026715.51
2.333333333,22059572.61
2.333333333,6186622.517
2.333333333,103241287.8
2.333333333,91061416.31
2.333333333,52716902.52
2.333333333,239235763
2.333333333,55513876.41
2.333333333,34692780.99
2.333333333,1341003.138
2.333333333,149117794.7
2.5,144160014.4
2.5,99287152.51
2.5,33756934.08
2.5,47330935.88
2.5,34305356.73
2.5,120403091.4
2.5,157547891.2
2.5,48411595.24
2.5,100552573
2.5,167669422.7
2.5,235769694.4
2.5,158607691.7
2.5,39192837.09
2.5,98549615.92
2.5,27904975.16
2.5,68444929.71
2.5,34520270.16
2.5,128744688.9
2.5,70828468.43
2.5,44204118.75
2.5,351510466.9
2.5,22468048.06
2.5,57084752.7
2.5,28391623.91
2.5,119749640.7
2.5,109280815.9
2.5,45193239.27
2.5,172315267.6
2.5,17972338.95
2.5,22235855.35
2.5,127576421
2.5,308877039
2.5,60518049.3
2.5,21141268.84
2.5,35233581.65
2.5,16382845.36
2.5,214064799.7
2.666666667,191914940.7
2.666666667,101548741.8
2.666666667,119950411
2.666666667,199724651.8
2.666666667,212852389.6
2.666666667,9307025.379
2.666666667,164867927.9
2.666666667,147051960
2.666666667,28381843.91
2.666666667,46735967.97
2.666666667,117839175.9
2.666666667,103729715.9
2.666666667,56427135.67
2.666666667,79461095.05
2.666666667,78192684.97
2.666666667,126900416.6
2.666666667,52407848.49
2.666666667,15066630.59
2.666666667,293234229.1
2.666666667,112585742.1
2.666666667,1034135754
2.666666667,158998621.4
2.666666667,137962131.8
2.666666667,126560545.4
2.666666667,109965236.5
2.666666667,67504772.31
2.666666667,146381355.5
2.666666667,89172727.23
2.666666667,199019478.7
2.666666667,9448984.768
2.666666667,28771129.06
2.666666667,5605153.9
2.666666667,3251077.198
2.666666667,49295908.64
2.833333333,84032841.82
2.833333333,20353877.13
2.833333333,87325809.74
2.833333333,85643621.75
2.833333333,267082572.7
2.833333333,160934571.2
2.833333333,90070802.47
2.833333333,19947548.12
2.833333333,8334996.783
2.833333333,17346691.11
2.833333333,45688553.58
2.833333333,32510043.71
2.833333333,236072789.4
2.833333333,20543392.91
2.833333333,352394555.1
2.833333333,185448181
2.833333333,99602790.7
2.833333333,112733171
2.833333333,95138885.45
2.833333333,77260709.37
2.833333333,58019453.03
2.833333333,30321346.05
2.833333333,47262555.23
2.833333333,100990551.3
2.833333333,7718834.922
2.833333333,102370721.9
2.833333333,107006116.6
2.833333333,2924252.684
2.833333333,350632133.4
2.833333333,2387591.882
2.833333333,7548343.562
3,192071564.7
3,274213148.4
3,161437406.7
3,108946579.2
3,125611467.7
3,42389501.39
3,125705830.4
3,249124982
3,24338300.55
3,35126454.38
3,69792609.82
3,126015432.4
3,199669980.1
3,254342807.9
3,403650771.9
3,30972158.34
3,132862854.6
3,2913399.072
3,84176685.75
3,56379097.54
3,321919335.9
3,26524406.76
3,112140409.2
3,117900991.7
3,14109400.96
3,22305609.69
3,32477111.53
3,67056565.24
3,24928596.92
3,61506543.88
3,91693625.74
3,4872779.688
3,122232016.1
3,52546480.23
3,116722442
3,259493550.9
3,257166070.6
3,111239789.4
3,38533127.27
3,29713520.56
3,155805140.5
3,68305437.06
3,4812679.648
3,10409344.02
3,168039826.4
3,47382119.8
3,15392869.3
3,99584091.06
3,86097094.38
3,51240819.09
3,17447755.66
3,2941350.418
3,66372105.16
3,52159170.02
3,4144799.075
3,2073309.384
3,15269613.03
3,5330228.058
3,21274800.7
3,28506722.15
3.166666667,376409598.8
3.166666667,49459642.44
3.166666667,6783085.779
3.166666667,10277683.95
3.166666667,301629206.7
3.166666667,3207808.267
3.166666667,23399126.64
3.166666667,30148507.36
3.166666667,19114829.65
3.166666667,76159029.92
3.166666667,48934582.99
3.166666667,52972814.36
3.166666667,9809023.472
3.166666667,91105973.98
3.166666667,57334640.22
3.166666667,123628252.5
3.166666667,26394343.73
3.166666667,154431007.1
3.166666667,26994126.37
3.166666667,44996085.06
3.166666667,64340955.48
3.166666667,3264817.753
3.166666667,96880033.25
3.166666667,35220678.74
3.166666667,21843573.87
3.166666667,36173537.21
3.166666667,18059136.48
3.166666667,184586106.3
3.166666667,44657099.26
3.166666667,108410377.2
3.166666667,25459197.59
3.166666667,34791074.44
3.166666667,24468128.64
3.166666667,10992455.66
3.166666667,61767572.81
3.166666667,38636524.44
3.166666667,3319843.369
3.166666667,19066953.05
3.166666667,57951587.57
3.166666667,71602155.11
3.166666667,167347983.2
3.166666667,22179858.34
3.166666667,318503903.7
3.166666667,19675485.11
3.166666667,32734937.83
3.166666667,22869309.72
3.333333333,101001983.9
3.333333333,110784340.6
3.333333333,111502987.1
3.333333333,16823567.2
3.333333333,32059377.72
3.333333333,27150623.93
3.333333333,66480924.16
3.333333333,4785268.089
3.333333333,109274011
3.333333333,86833858.21
3.333333333,146864705.1
3.333333333,101270003.4
3.333333333,5911585.617
3.333333333,2058209.401
3.333333333,231598407.9
3.333333333,167401109.8
3.333333333,68993446.03
3.333333333,54167679.01
3.333333333,123728586.2
3.333333333,36488421.07
3.333333333,131627877.5
3.333333333,187420706.6
3.333333333,9793071.39
3.333333333,103059281.5
3.333333333,1060265.739
3.333333333,23344359.07
3.333333333,9021509.085
3.333333333,44870524.92
3.333333333,33427195.5
3.333333333,97825815.8
3.333333333,37662716.3
3.333333333,92288529.92
3.333333333,14361200.31
3.333333333,8489717.393
3.333333333,24979184.3
3.333333333,6456770.126
3.333333333,1587305.12
3.333333333,14772575.53
3.333333333,9028690.036
3.333333333,9613716.857
3.333333333,70372342.14
3.333333333,17324345.95
3.333333333,63861249.5
3.333333333,12549119.13
3.333333333,35165527.35
3.333333333,52528148.27
3.333333333,88298697.28
3.333333333,32934483.73
3.333333333,53915864.85
3.333333333,187714426.9
3.333333333,77392767.12
3.333333333,1353465.466
3.333333333,152421196
3.333333333,94210026.83
3.333333333,10111896.94
3.333333333,81847894.25
3.333333333,108749070
3.333333333,773745.2452
3.333333333,79446136.35
3.333333333,71537261.17
3.333333333,1998439.802
3.333333333,2801764.778
3.333333333,5568966.861
3.333333333,4954491.03
3.333333333,7773685.897
3.333333333,236996619.6
3.333333333,17910110.1
3.5,98255576.52
3.5,17908063.44
3.5,4135208.803
3.5,22265222
3.5,29187284.28
3.5,8355070.425
3.5,87999751.65
3.5,15672416.81
3.5,25618075.43
3.5,57246830.68
3.5,32737207.64
3.5,79554181
3.5,98743057.44
3.5,5306397.006
3.5,35667324.11
3.5,2949830.269
3.5,3735243.285
3.5,116403687.3
3.5,126017511.2
3.5,29072750.23
3.5,24076880.93
3.5,60623326.57
3.5,6413895.04
3.5,14200297.69
3.5,18918779.08
3.5,23585754.13
3.5,115560283.3
3.5,9271970.008
3.5,17757993.73
3.5,3737756.324
3.5,35393955.61
3.5,12966904.45
3.5,6459061.516
3.5,218372214.2
3.5,43425970.71
3.5,21631996.75
3.5,189663148.6
3.5,1684702.073
3.5,46522045.92
3.5,10295509.04
3.5,20459452.82
3.5,111636935.4
3.5,173029341.1
3.5,9950310.095
3.5,11913753.44
3.5,43626235.95
3.5,27231957.93
3.5,33794220.75
3.5,3880801.727
3.5,26288888.58
3.666666667,167381163.1
3.666666667,80285866.36
3.666666667,9432448.839
3.666666667,21020051.29
3.666666667,42408286.2
3.666666667,6177458.6
3.666666667,6514112.541
3.666666667,293174748.2
3.666666667,98244920.22
3.666666667,4403843.38
3.666666667,591623.4972
3.666666667,82264385.75
3.666666667,134560894.6
3.666666667,65630704.52
3.666666667,26551942.4
3.666666667,14742327.48
3.666666667,32499646.77
3.666666667,111686025.1
3.666666667,2023142.97
3.666666667,101317849.1
3.666666667,5093879.238
3.666666667,53443074.25
3.666666667,3272472.313
3.666666667,99112810.62
3.666666667,114963219.2
3.666666667,29639972.89
3.666666667,12687969.77
3.666666667,60112983.07
3.666666667,23503799.2
3.666666667,14726054.47
3.666666667,350814186.5
3.666666667,5890003.075
3.666666667,50771124.74
3.666666667,5497271.036
3.666666667,17486419.3
3.666666667,80335245.48
3.666666667,93599648.15
3.666666667,79171894.05
3.666666667,18069048.1
3.666666667,18187557.09
3.666666667,37153045.44
3.666666667,2340394.843
3.666666667,1873648.234
3.666666667,25391763.41
3.666666667,22783293.38
3.666666667,3364834.857
3.666666667,6187033.833
3.666666667,40679744.8
3.666666667,8076916.555
3.666666667,20238430.91
3.666666667,25822211.64
3.666666667,5864621.747
3.666666667,10238133.28
3.666666667,87093531.11
3.666666667,93408643.41
3.666666667,81147092.29
3.666666667,964074.9953
3.666666667,12854865.06
3.666666667,102246614.1
3.666666667,39766141.44
3.666666667,18531464.98
3.666666667,127117506.2
3.666666667,13279602.89
3.666666667,10223846.73
3.666666667,3729781.848
3.666666667,10575230.65
3.666666667,5969963.007
3.666666667,27700341.43
3.666666667,103801552.1
3.666666667,15357339.28
3.666666667,46566128.14
3.666666667,11587467.14
3.666666667,4360959.823
3.666666667,20547778.21
3.666666667,27937131.14
3.666666667,16156740.67
3.833333333,53527310.4
3.833333333,43911705.66
3.833333333,13171835.22
3.833333333,8004571.077
3.833333333,69380044.91
3.833333333,1351599.882
3.833333333,45145608.19
3.833333333,109563212.1
3.833333333,59532010.44
3.833333333,62953340.06
3.833333333,94092383.72
3.833333333,67131246.42
3.833333333,144634741.4
3.833333333,20845259.41
3.833333333,19027708.49
3.833333333,4636797.782
3.833333333,25857573.53
3.833333333,40632026.66
3.833333333,4011751.883
3.833333333,12392423.51
3.833333333,18350269.76
3.833333333,79030969.76
3.833333333,43020039.86
3.833333333,2728046.208
3.833333333,19360794.73
3.833333333,2788958.272
3.833333333,118699804.2
3.833333333,2029506.572
3.833333333,14566486.94
3.833333333,27619691.97
3.833333333,115325503.9
3.833333333,6854405.7
3.833333333,137148796.1
3.833333333,14633242.38
3.833333333,1863255.495
3.833333333,29745367.01
3.833333333,14904154.9
3.833333333,1908040.219
3.833333333,1696048.102
3.833333333,14805716.02
3.833333333,86787489.73
3.833333333,3308255.434
3.833333333,39028013.93
3.833333333,104107681.9
3.833333333,8543728.32
3.833333333,16624893.08
3.833333333,2453942.658
3.833333333,991121.2465
3.833333333,83051761.7
3.833333333,150961707.9
3.833333333,4169617.746
3.833333333,805213.5498
3.833333333,5417184.723
3.833333333,17895825.06
3.833333333,110845651.1
3.833333333,92953748.85
3.833333333,8628266.622
3.833333333,59971148.05
3.833333333,50081865.77
3.833333333,21438543.22
3.833333333,133305464.2
3.833333333,20539194.43
3.833333333,46288618.97
3.833333333,19657575.46
3.833333333,42299217.33
3.833333333,2679153.528
3.833333333,1225254.251
3.833333333,8153431.406
3.833333333,10512647.8
3.833333333,19746195.9
3.833333333,19190285.17
4,213264218.4
4,157873543.8
4,874303985.7
4,11618332.51
4,3914978.371
4,21532854.11
4,10557740.19
4,47126650.25
4,101905558.3
4,10042373.39
4,11457572.51
4,21443128.36
4,5339529.353
4,5500531.219
4,2776966.933
4,53321701.52
4,23371307.69
4,125606570
4,42737102.32
4,7075399.849
4,141141317.2
4,5055956.72
4,12271399.65
4,30395051.56
4,9664014.603
4,29953053.11
4,167759834.1
4,142515597.2
4,3328184.172
4,12091259.89
4,1366792.836
4,19259749.35
4,4754622.831
4,91418847.29
4,55224169.57
4,15386507.84
4,42077085.3
4,11412290.98
4,56531319.25
4,3566576.079
4,42207963.28
4,7679727.876
4,6890831.761
4,5125656.746
4,9490253.982
4,7167729.622
4,21375628.69
4,71658330.42
4,10767851.45
4,9969575.525
4,3482826.95
4,61170509.65
4,11472599.24
4,8153594.122
4,157390447.3
4,2917221.471
4,43416261.16
4,2967302.941
4,31256377.92
4,11763469.69
4,96978523.18
4,33526529
4,6243527.024
4,1068532.46
4,7563701.042
4,13736495.11
4,6972449.742
4,984775.03
4,1036703.559
4,20120021.82
4,4700870.514
4,1678953.908
4,9164401.637
4,818495.5065
4,15355544.41
4.166666667,13760327.28
4.166666667,179622760.3
4.166666667,32959328.29
4.166666667,10403847.85
4.166666667,8491762.052
4.166666667,162894722.6
4.166666667,3407021.445
4.166666667,21520020.18
4.166666667,2467678.755
4.166666667,4802661.58
4.166666667,97574636.46
4.166666667,357097737.5
4.166666667,42875012.8
4.166666667,3503331.853
4.166666667,13371123.3
4.166666667,24378630.75
4.166666667,1501398.134
4.166666667,6778167.858
4.166666667,5643914.447
4.166666667,13052268.85
4.166666667,7037625.565
4.166666667,21362406.67
4.166666667,14124390.73
4.166666667,11340010.68
4.166666667,9015790.151
4.166666667,24300779.87
4.166666667,49177109.09
4.166666667,82282672.7
4.166666667,7371785.106
4.166666667,23311607.42
4.166666667,67465729.66
4.166666667,2445059.468
4.166666667,66367303.02
4.166666667,136738344.2
4.166666667,2798219.305
4.166666667,6120242.434
4.166666667,4807949.317
4.166666667,3457720.24
4.166666667,8258827.392
4.166666667,12940968.22
4.166666667,9699853.23
4.166666667,48156491.09
4.166666667,15252632.68
4.166666667,37719624.84
4.166666667,6669358.889
4.166666667,10760962.67
4.166666667,38422521.53
4.166666667,6505824.666
4.166666667,2168919.024
4.166666667,4055890.565
4.166666667,45706679.45
4.166666667,11422721.22
4.166666667,4377807.965
4.166666667,27589921.75
4.166666667,16547795.51
4.166666667,69461846.22
4.166666667,7227032.702
4.166666667,18404942.39
4.166666667,7328226.991
4.166666667,1575775.559
4.166666667,4509903.016
4.166666667,1922912.129
4.166666667,26057064.29
4.166666667,46296486.36
4.166666667,5758690.803
4.166666667,5865410.594
4.166666667,11709247.81
4.166666667,4468687.908
4.166666667,2182417.078
4.333333333,58312351.19
4.333333333,95492066.24
4.333333333,72390854.97
4.333333333,2035142.582
4.333333333,35956204.58
4.333333333,8507727.113
4.333333333,57789450.22
4.333333333,25908196.87
4.333333333,63001357.34
4.333333333,1974287.223
4.333333333,124666661.5
4.333333333,20354900.18
4.333333333,3712160.449
4.333333333,72643633.71
4.333333333,3125368.658
4.333333333,77280672.72
4.333333333,3707077.384
4.333333333,1515250.271
4.333333333,107162915.1
4.333333333,42576421.96
4.333333333,2178659.972
4.333333333,6492522.887
4.333333333,16067541.54
4.333333333,45464967.13
