NatWalkInd,Shape_Area
1,4303006.481
1,1093685.443
1,134532022.6
1,826098185
1,448306613.2
1.333333333,353812.5895
2.166666667,21930918.85
2.5,16653206.69
2.666666667,15698745.13
2.833333333,54574368.6
2.833333333,20803369.21
2.833333333,11226212.7
2.833333333,12113250.39
3,20379554.98
3.166666667,13838438.29
3.166666667,27939424.96
3.166666667,15389955.45
3.166666667,97840580.82
3.166666667,83934401.76
3.333333333,49462377.78
3.333333333,42706457.92
3.5,16828956.31
3.5,55050782.88
3.5,23875753.73
3.666666667,12817979.15
3.666666667,11529609.67
3.666666667,8478201.136
3.666666667,32675320.29
3.666666667,26977921.81
3.833333333,37254448.88
3.833333333,22230474.14
3.833333333,37774820.49
3.833333333,27916200.73
3.833333333,71161206.85
3.833333333,14347373.89
3.833333333,30439538.04
4,24680978.99
4,48549264.8
4,3098772.27
4,5844061.653
4,7323226.042
4,10190860.96
4.166666667,782109.0545
4.166666667,19149869.06
4.166666667,8122329.768
4.166666667,5255295.835
4.166666667,17516218.51
4.166666667,27610634.85
4.166666667,15230234.64
4.166666667,25915106.47
4.333333333,4530396.134
4.333333333,18797112.84
4.333333333,37166411.55
4.333333333,2442506.117
4.333333333,3310868.51
4.333333333,14372299.78
4.333333333,24451670.57
4.333333333,8443252.05
4.5,21989768.88
4.5,3892022.646
4.5,58656071.07
4.5,34089725.32
4.5,13394488.13
4.5,22406508.23
4.5,20794890.39
4.5,17238638.82
4.5,10315756.43
4.5,6684616.729
4.5,23476244.56
4.5,18046597.81
4.5,15459620.4
4.5,18134091.95
4.666666667,9522245.456
4.666666667,1821554.647
4.666666667,52848914.56
4.666666667,17541826.2
4.666666667,14490051.28
4.666666667,74141409.67
4.666666667,16014455.18
4.666666667,49966754.99
4.666666667,24803296.08
4.666666667,18874686.68
4.666666667,5943002.539
4.666666667,57278377.94
4.833333333,27008371.98
4.833333333,4219164.671
4.833333333,7498149.787
4.833333333,15648179.28
4.833333333,7992253.916
4.833333333,50715799.34
4.833333333,16550036.89
4.833333333,19392842.38
4.833333333,22087092.97
5,35575407.2
5,44325943.96
5,1750384.244
5,35558257.12
5,14645051.89
5,15878397.23
5,13140274.94
5,25246238.96
5,38759632.42
5.166666667,6194936.397
5.166666667,20446205.03
5.166666667,90943174.55
5.166666667,40355352.22
5.166666667,166340692.8
5.166666667,2465090.629
5.166666667,3599334.977
5.166666667,37393821.51
5.166666667,16468880.19
5.166666667,2992099.055
5.166666667,2957988.438
5.166666667,13892159.88
5.166666667,13459562.25
5.166666667,3138192.317
5.166666667,15646599.38
5.166666667,14841851.22
5.166666667,3792636.145
5.166666667,7881726.032
5.166666667,1156111.826
5.166666667,10429949.18
5.333333333,4021002.933
5.333333333,13434959.41
5.333333333,28731591.78
5.333333333,16865769.28
5.333333333,85968147.9
5.333333333,40305859.52
5.333333333,52932104.96
5.333333333,2470489.277
5.333333333,21161616.7
5.333333333,5489789.041
5.333333333,4651120.801
5.333333333,14348940.92
5.333333333,6493853.865
5.333333333,2066550.928
5.333333333,15101436.1
5.5,6685911.89
5.5,8845886.286
5.5,3818648.308
5.5,414487.0111
5.5,15891579.25
5.5,16595547.81
5.5,12633434.26
5.5,43203304.82
5.5,2011041.797
5.5,12219140.63
5.5,13965060.36
5.5,2194600.819
5.5,66605811.89
5.5,1797166.268
5.5,7955566.936
5.5,36130984.34
5.5,9030017.769
5.5,4894040.964
5.5,8873040.961
5.666666667,3918353.625
5.666666667,26772841.18
5.666666667,7207276.153
5.666666667,11593248.24
5.666666667,27816041.3
5.666666667,48933106.83
5.666666667,14816824.97
5.666666667,44543722.76
5.666666667,30979481.97
5.666666667,5957235.153
5.666666667,2407038.625
5.666666667,7410540.335
5.666666667,13666035.61
5.666666667,4613330.42
5.666666667,5971838.636
5.666666667,3767542.264
5.833333333,14778757.54
5.833333333,8501735.19
5.833333333,4897131.813
5.833333333,14600943.83
5.833333333,38375077.43
5.833333333,7746343.713
5.833333333,33914305.46
5.833333333,11325355.3
5.833333333,208179.6085
5.833333333,37294608.75
5.833333333,112599452
6,8353019.509
6,113803908.8
6,15731102.63
6,1215487.563
6,99776511.27
6,24574938.33
6,11930947.8
6,32701615.76
6,25588527.33
6,16266548.94
6,4516191.129
6,11998837.53
6,14173310.98
6,33912559.6
6.166666667,1861197.322
6.166666667,1787478.456
6.166666667,945013.7801
6.166666667,4217747.598
6.166666667,3499216.619
6.166666667,8425872.87
6.166666667,25050555.85
6.166666667,1829644.203
6.166666667,51604667.81
6.166666667,35357753.38
6.166666667,8197007.265
6.166666667,1323429.695
6.166666667,11297865.65
6.166666667,5764562.673
6.166666667,8715440.039
6.333333333,2267942.268
6.333333333,1757471.154
6.333333333,55801405.82
6.333333333,15787848.67
6.333333333,3149915.867
6.333333333,2873035.223
6.333333333,29959707.42
6.333333333,4495913.361
6.333333333,81149772.1
6.333333333,2674933.512
6.333333333,14564767.46
6.333333333,6847342.041
6.333333333,10117637.33
6.333333333,26265570.04
6.333333333,2405817.151
6.333333333,6840145.686
6.5,249081.9074
6.5,1232004.328
6.5,41007180.21
6.5,15354196.1
6.5,2859331.482
6.5,6281277.385
6.5,3216636.872
6.5,3621214.127
6.5,1610753.474
6.5,15472239.9
6.5,22061680.55
6.5,50270640.3
6.5,4534796.281
6.5,1926713.505
6.5,1399801.179
6.5,21375270.6
6.666666667,33201810.33
6.666666667,56160807.15
6.666666667,23389813.37
6.666666667,25405585.72
6.666666667,7598745.705
6.666666667,1488840.935
6.666666667,7769046.488
6.666666667,1128178.581
6.666666667,11810137.79
6.666666667,15268221.44
6.666666667,7897669.654
6.833333333,645307.2846
6.833333333,7688582.061
6.833333333,9216932.381
6.833333333,36864236.52
6.833333333,11034578.94
6.833333333,4088495.761
6.833333333,4809022.676
6.833333333,13162332.31
6.833333333,747149.8325
6.833333333,3165243.102
6.833333333,14419360.41
6.833333333,12540806.08
6.833333333,5283904.881
7,1399027.16
7,5632714.893
7,12605333.74
7,2103527.162
7,9516654.899
7,2715917.745
7,6099127.935
7,8600226.641
7,6611342.963
7,6464216.765
7,3316931.36
7,12957202.12
7,14167494.38
7,3470145.932
7.166666667,22023036.43
7.166666667,3834439.472
7.166666667,14812713.74
7.166666667,1523409.222
7.166666667,981052.8169
7.166666667,50435567.41
7.166666667,17021756.14
7.166666667,11036470.05
7.166666667,14503658.28
7.166666667,19264074.38
7.166666667,5907172.004
7.333333333,1534124.902
7.333333333,20217217.42
7.333333333,4819117.443
7.333333333,88407630.2
7.333333333,73474799.21
7.333333333,30196850.43
7.333333333,36458964.5
7.333333333,7653511.819
7.333333333,9242098.029
7.333333333,31907280.64
7.333333333,976498.6452
7.333333333,1262650.927
7.333333333,2910373.821
7.333333333,87323951.98
7.333333333,8154518.553
7.333333333,15688611.26
7.333333333,3638367.84
7.333333333,13497353.58
7.333333333,15004282.06
7.333333333,375585.8846
7.333333333,4111735.206
7.333333333,21752568.36
7.333333333,5521198.406
7.333333333,3378282.097
7.5,1291652.457
7.5,1419424.626
7.5,11788329.99
7.5,3657908.586
7.5,9895708.975
