NatWalkInd,Shape_Area
1,1094185841
1,5759899.089
1,853304708.5
1,150665757.9
1,50349018.26
1,357149420.8
1,1678955997
1,1937213996
1,2009639630
1,141026913.4
1,47184166.32
1.333333333,13830692.54
1.333333333,41255535.35
1.333333333,73580132.83
1.333333333,45453866.92
1.333333333,57631070.07
1.5,93579735.16
1.5,53717616.38
1.5,27334059.62
1.5,80642381.9
1.5,42158439.78
1.5,33858656.41
1.5,159361536.6
1.666666667,74707541.71
1.666666667,68333925.25
1.666666667,60877146.32
1.666666667,1045231.572
1.666666667,34255532.09
1.666666667,25979757.93
1.666666667,86841667.01
1.666666667,70846989.04
1.666666667,123219874
1.833333333,81416974.87
1.833333333,29156726.56
1.833333333,34608959.12
1.833333333,27070114.52
1.833333333,148505961.8
1.833333333,29025853.9
1.833333333,71411078.8
1.833333333,58889156.98
1.833333333,54437887.69
1.833333333,31485077.2
1.833333333,40771425.4
1.833333333,51219633.39
1.833333333,144874974.1
1.833333333,72136242.64
1.833333333,62557180.26
1.833333333,72635764.28
1.833333333,30697491.84
1.833333333,103460647.8
1.833333333,78685819.3
1.833333333,125099308.1
1.833333333,33155676.63
1.833333333,22614108.94
1.833333333,32283215.64
2,97216731.99
2,81013835.09
2,57277885.16
2,95803987.07
2,38608834.03
2,72962800.34
2,89322535.69
2,79873438.76
2,111626422.8
2,114383008.8
2,114392447.3
2,60512326.48
2,55560278.83
2,21086785.11
2,92101402.88
2,123515395.8
2,66248114.76
2,59969684.67
2,60930544.69
2,43299940.28
2,100089135.6
2,89172867.02
2,73878926.14
2,69803805.29
2,124296511.7
2.166666667,126426025.7
2.166666667,79024537.16
2.166666667,116544245.5
2.166666667,56332185.71
2.166666667,39396060.17
2.166666667,13121837.16
2.166666667,75974651.26
2.166666667,53428935.27
2.166666667,91798457.44
2.166666667,57653692.76
2.166666667,86033324.6
2.166666667,67988092.67
2.166666667,71680870.6
2.166666667,73424992.93
2.166666667,59588819.86
2.166666667,73627149.12
2.166666667,101742103.8
2.166666667,20049296.26
2.166666667,14468244.16
2.166666667,56017966.04
2.166666667,51406771.93
2.166666667,137755706
2.166666667,111760313.2
2.166666667,45707659.28
2.166666667,31020497.26
2.166666667,103938221.8
2.166666667,33953668.72
2.166666667,41937723.05
2.166666667,43927057.58
2.166666667,63682183.96
2.166666667,36762661.83
2.166666667,49441836.56
2.166666667,21786833.38
2.166666667,85928879.45
2.333333333,66537016.7
2.333333333,82042763.41
2.333333333,46891297.99
2.333333333,8432169.72
2.333333333,46740945.49
2.333333333,16791875.67
2.333333333,25804808.51
2.333333333,47961500.88
2.333333333,129104146.2
2.333333333,20896912.93
