NatWalkInd,Shape_Area
1.333333333,295478806.6
1.333333333,171127561.5
1.5,178473586.5
1.5,477114613.1
1.666666667,137638299.8
1.833333333,283380392.3
1.833333333,48812922.86
2,80941089.09
2,118911873.6
2,235241996
2,55983214.66
2,221871447.8
2,126942112.2
2,64330297.2
2.166666667,142058457.3
2.166666667,153213147.5
2.166666667,153655358.7
2.166666667,257450177.1
2.166666667,68983892.06
2.166666667,223169626.5
2.166666667,108819128.4
2.166666667,210485525.7
2.166666667,222041602.8
2.333333333,271709831
2.333333333,140486880
2.333333333,104156041.8
2.333333333,218434712.1
2.333333333,212817867.7
2.333333333,89169814.2
2.333333333,99118792.65
2.333333333,119383688.2
2.333333333,263323331.3
2.333333333,82920062.46
2.333333333,127619615
2.333333333,120463158.8
2.333333333,296922590.8
2.5,174798582.9
2.5,261345803.7
2.5,76192875.06
2.666666667,275134880.4
2.666666667,96138857.35
2.666666667,178778899.1
2.666666667,66190764.76
2.666666667,92621351.19
2.666666667,113744978.7
2.666666667,202121207.8
2.666666667,99787321.62
2.666666667,187384077
2.666666667,329918363.6
2.666666667,125897560.9
2.666666667,202803599.2
2.666666667,182994732
2.666666667,174489922.7
2.666666667,122261747.4
2.666666667,82008610.55
2.833333333,79562971.03
2.833333333,249274423.1
2.833333333,56623069.39
2.833333333,322181751.9
2.833333333,35644281.39
2.833333333,137548807.8
2.833333333,67212592.13
2.833333333,152060892.2
2.833333333,178592663.1
2.833333333,61431054.25
2.833333333,261529626.6
2.833333333,179618166.7
2.833333333,283224362.7
2.833333333,71738981.25
2.833333333,165999615.9
3,60395018.28
3,107754691.3
3,165841978.1
3,88563300.27
3,31421193.61
3,92508815.43
3,94701611.81
3,49342284.07
3,105542846.7
3,42866045.98
3,109653511.8
3,229311619.7
3,15006961.4
3,107756512.6
3,98403160.12
3,53165526.76
3,206951377.6
3,104704548.6
3,39059333.48
3,164563933.2
3,181852178.4
3.166666667,224377349.3
3.166666667,92297067.27
3.166666667,173010902.9
3.166666667,77984097.07
3.166666667,145573706.1
3.166666667,17582457.34
3.166666667,135113775.6
3.166666667,56615259.16
3.166666667,179429487.5
3.166666667,206531141.4
3.166666667,293136855.2
3.166666667,99869744.56
3.166666667,17566982.94
3.166666667,32172538.58
3.166666667,227535724.7
3.166666667,93012153.16
3.166666667,86718151.38
3.166666667,107195887
3.166666667,24416761.1
3.166666667,12175768.07
3.166666667,12893653.24
3.166666667,148615092.2
3.166666667,189722412.7
3.166666667,101426664
3.166666667,157558738
3.166666667,132023751.1
3.166666667,159039198.8
3.333333333,102736321
3.333333333,89392378.83
3.333333333,56338397.1
3.333333333,161922740.4
3.333333333,160590204.6
3.333333333,209185257.7
3.333333333,95205662.82
3.333333333,139525711.5
3.333333333,170791552.7
3.333333333,31002819.12
3.333333333,202728089.9
3.333333333,26334681.72
3.333333333,112840145.9
3.333333333,87533330.79
3.333333333,14654971.76
3.333333333,32709394.09
3.333333333,317146020.2
3.333333333,50947310.87
3.333333333,92687674.44
3.333333333,301008457.8
3.333333333,110828010.4
3.333333333,85378921.53
3.5,61168552.46
3.5,264435477.1
3.5,163370361.4
3.5,63273151.7
3.5,315403943.3
3.5,219788974.2
3.5,125018589.1
3.5,133440870.3
3.5,110025239.4
3.5,86095226.34
3.5,266158705
3.5,227691317.7
3.5,52983889.75
3.5,38786618.85
3.5,129911593.2
3.5,184405401.6
3.5,91924335.87
3.5,192814148
3.5,67418861.88
3.666666667,126716822.3
3.666666667,165965205.2
3.666666667,174325348.5
3.666666667,128907728.8
3.666666667,64858007.76
3.666666667,130371939.5
