NatWalkInd,Shape_Area
1,248387524.7
1,1528478.531
1,361333805
1,1234326.034
1,8349.359959
1.333333333,28535531.87
1.333333333,1123583.535
1.333333333,31248375.86
1.333333333,122328465.2
1.333333333,46298791.64
1.5,134338219.6
1.5,18485844.07
1.666666667,44710606.98
1.666666667,13072873.87
1.666666667,460140267
1.666666667,16776650.44
1.666666667,36308005.33
1.666666667,70854751.82
1.666666667,29378762.9
1.666666667,80441782.45
1.666666667,23032652.66
1.833333333,23468542.79
1.833333333,1288881.557
1.833333333,34786310.13
1.833333333,48934803.99
1.833333333,232293900
1.833333333,35446753.87
1.833333333,123598203.2
1.833333333,96630375.73
1.833333333,30443732.11
1.833333333,47293734.06
2,372858.4334
2,249155636
2,13849287.5
2,19554744.55
2,92255353.93
2,28785383.49
2,29306414.17
2,46354954.25
2.166666667,4697876.187
2.166666667,51908075.27
2.166666667,21827611.02
2.166666667,83071812.75
2.166666667,1608611.898
2.166666667,116879098.6
2.166666667,63891918.57
2.166666667,172678634.6
2.166666667,65920571.9
2.166666667,45943536.35
2.166666667,154974161.1
2.333333333,21035628.53
2.333333333,3406917.932
2.333333333,72252270.93
2.333333333,60106735.35
2.333333333,21002822.93
2.333333333,47252313.59
2.333333333,355027531.7
2.333333333,3049788.705
2.333333333,27290666.36
2.333333333,45865252.47
2.333333333,34186198.78
2.333333333,42348231.67
2.333333333,29537350.56
2.333333333,37253010.4
2.333333333,154516893.2
2.333333333,5833624.346
2.333333333,7494312.231
2.333333333,73160238.86
2.5,21943953.14
2.5,23008926.38
2.5,10472055.31
2.5,162029906.3
2.5,39767498.02
2.5,35968877.09
2.5,145706378
2.5,97477037.14
2.5,79330069.19
2.5,22355334.71
2.5,25708753.97
2.5,75959578.82
2.5,118451470.7
2.5,19239874.4
2.5,36966672.25
2.5,26524104.9
2.5,70793327.55
2.5,35369494.2
2.5,77985225.72
2.666666667,133253674
2.666666667,128961017.8
2.666666667,31919018.86
2.666666667,17973486.72
2.666666667,79384390.46
2.666666667,121370335.6
2.666666667,36040202.67
2.666666667,59092792.66
2.666666667,23950840.21
2.666666667,85006980.32
2.666666667,22750273.51
2.666666667,58342938.42
2.666666667,45878084.56
2.666666667,111035364.4
2.833333333,25013165.21
2.833333333,34975229.71
2.833333333,30699030
2.833333333,93135145.5
2.833333333,41623265.13
2.833333333,27013788.22
2.833333333,16184950.81
2.833333333,12305256.04
2.833333333,60628325.78
2.833333333,63188910.89
2.833333333,5587758.817
2.833333333,53795025.58
2.833333333,45532321.47
2.833333333,67287590.82
2.833333333,59645446.44
2.833333333,126150060.2
2.833333333,87828617.98
2.833333333,114531113
2.833333333,48136050.8
2.833333333,100195525.3
2.833333333,34359538.33
3,30879825
3,107355564.3
3,8452393.429
3,33381127.24
3,29324987.1
3,28798348.44
3,30144282.84
3,59316830.74
3,2851510.351
3,41719504.33
3,107528570.5
3,37916299.72
3,80563033.75
3,22868663.73
3,6895826.59
3,35192523.17
3,51933009.58
3,134843179.1
3,230702267.8
3,161437714.7
3,71684788.59
3,118112064.7
3,81879369.38
3,82240709.46
3,9564809.263
3,55957229.15
3,53911395.96
3,91322210.95
3,61908456.31
3,114150036.9
3.166666667,25548917.93
3.166666667,30335735
3.166666667,44237790.57
3.166666667,23214402.48
3.166666667,502182.754
3.166666667,37828715.15
3.166666667,31138039.44
3.166666667,7916193.921
3.166666667,22472554.86
3.166666667,33652071.78
3.166666667,37977048.99
3.166666667,2176568.949
3.166666667,38381705.43
3.166666667,7657821.579
3.166666667,75860470.96
3.166666667,97272497.19
3.166666667,81749395.38
3.166666667,105620979.1
3.166666667,6907427.491
3.166666667,73135679.51
3.166666667,34392024.8
3.166666667,84951830.04
3.166666667,55993277.81
3.166666667,41363466.5
3.166666667,13233363.39
3.166666667,26620399.63
3.166666667,22274302.62
3.166666667,31841082.33
3.166666667,22174739.26
3.333333333,33050921.89
3.333333333,4791973.324
3.333333333,905253.8785
